PRECINCTID20,PRES20R,PRES20L,PRES20D,SEN20R,SEN20L,SEN20D,CONG20R,CONG20L,CONG20D,STSEN20R,STSEN20D
050235,1634,25,243,1547,47,278,0,0,0,0,0
050242,291,3,34,279,3,43,0,0,0,0,0
050320,453,6,69,428,10,75,0,0,0,0,0
050330,399,2,33,381,9,39,0,0,0,0,0
050332,826,16,152,783,19,175,0,0,0,0,0
050333,701,19,160,671,26,169,0,0,0,0,0
050343,146,0,22,139,1,26,0,0,0,0,0
060002,591,7,75,566,10,89,0,0,0,0,0
060007,548,7,92,541,7,90,0,0,0,0,0
060010,258,2,70,235,5,81,0,0,0,0,0
060011,150,1,116,143,7,109,0,0,0,0,0
060012,781,16,167,739,20,186,0,0,0,0,0
060016,129,1,25,126,1,26,0,0,0,0,0
060017,371,8,118,339,11,137,0,0,0,0,0
060020,259,1,21,253,3,26,0,0,0,0,0
060022,49,1,4,45,1,7,0,0,0,0,0
070003,519,23,280,489,37,280,510,43,270,0,0
070004,619,13,217,598,22,216,606,31,212,0,0
070005,616,23,290,600,21,291,620,31,273,0,0
070008,645,18,286,629,23,279,650,32,272,0,0
070010,430,7,104,420,14,96,420,14,103,0,0
070011,187,3,30,178,8,30,179,7,31,0,0
070013,497,3,76,488,11,71,491,11,74,0,0
070014,309,9,45,298,6,52,304,6,51,0,0
070015,519,4,106,497,10,114,501,15,112,0,0
070017,394,7,93,373,12,89,379,15,93,0,0
070018,787,18,170,748,17,176,772,25,169,0,0
070019,700,11,162,674,18,166,686,23,163,0,0
070020,485,6,126,473,8,126,485,14,120,0,0
070021,626,7,118,602,14,125,615,22,114,0,0
070022,770,5,209,752,12,207,758,22,205,0,0
070023,313,3,64,311,5,67,313,5,64,0,0
070025,806,9,190,783,22,189,780,26,197,0,0
070026,457,16,117,454,19,104,458,18,113,0,0
070027,718,16,204,679,27,211,707,36,188,0,0
070028,592,5,92,566,11,103,570,26,96,0,0
070029,149,1,42,142,2,43,147,4,39,0,0
070033,1206,23,302,1174,39,300,1182,54,297,0,0
080012,109,4,193,108,9,174,0,0,0,0,0
080022,193,5,201,180,10,196,0,0,0,0,0
080031,116,6,168,122,11,146,0,0,0,0,0
080041,428,4,265,424,10,253,0,0,0,0,0
080051,543,15,459,534,22,452,0,0,0,0,0
080102,656,7,220,629,10,229,0,0,0,0,0
080509,351,4,72,332,13,72,0,0,0,0,0
080510,593,6,101,564,8,115,0,0,0,0,0
080511,651,11,277,619,21,277,0,0,0,0,0
080712,384,9,130,365,7,140,0,0,0,0,0
080715,89,0,32,83,2,31,0,0,0,0,0
080810,191,1,44,191,4,39,0,0,0,0,0
